"Kod";"Nazwa";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2020;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 10 tys. ludności;2020;[km]";"drogi gminne i powiatowe o gruntowej nawierzchni;na 100 km2;2020;[km]";"drogi gminne i powiatowe o gruntowej nawierzchni;na 10 tys. ludności;2020;[km]";
1424000;"Powiat pułtuski";87,9;140,6;68,7;109,8;
1425000;"Powiat radomski";95,2;95,7;20,4;20,5;
1426000;"Powiat siedlecki";72,6;143,0;23,8;46,9;
1427000;"Powiat sierpecki";91,5;151,3;26,6;44,0;
1428000;"Powiat sochaczewski";103,7;89,9;28,5;24,7;
1429000;"Powiat sokołowski";70,3;149,3;28,4;60,4;
1430000;"Powiat szydłowiecki";90,1;103,5;26,4;30,3;
1432000;"Powiat warszawski zachodni";125,8;55,9;47,4;21,1;
1433000;"Powiat węgrowski";63,3;118,1;91,6;170,9;
1434000;"Powiat wołomiński";115,4;43,6;79,3;30,0;
1435000;"Powiat wyszkowski";86,3;102,0;48,4;57,1;
1436000;"Powiat zwoleński";105,9;169,2;39,6;63,4;
1437000;"Powiat żuromiński";73,3;154,7;55,6;117,4;
1438000;"Powiat żyrardowski";111,9;79,1;19,0;13,4;
1461000;"Powiat m.Ostrołęka";367,9;23,8;41,8;2,7;
1462000;"Powiat m.Płock";240,2;17,9;17,4;1,3;
1463000;"Powiat m.Radom";282,2;15,1;25,8;1,4;
1464000;"Powiat m.Siedlce";436,0;17,9;97,9;4,0;
1465000;"Powiat m. st. Warszawa";423,3;12,2;31,8;0,9;
1600000;"OPOLSKIE";73,2;70,5;20,0;19,3;
1601000;"Powiat brzeski";59,3;58,2;26,2;25,7;
1602000;"Powiat głubczycki";76,7;114,5;10,5;15,7;
1603000;"Powiat kędzierzyńsko-kozielski";90,7;61,0;7,8;5,2;
1604000;"Powiat kluczborski";65,6;85,9;3,0;4,0;
1605000;"Powiat krapkowicki";88,5;61,9;10,4;7,2;
1606000;"Powiat namysłowski";56,7;99,7;15,9;27,9;
1607000;"Powiat nyski";73,4;66,6;54,9;49,8;
1608000;"Powiat oleski";72,3;110,4;16,4;25,1;
1609000;"Powiat opolski";63,1;78,3;18,4;22,9;
1610000;"Powiat prudnicki";67,1;70,0;12,3;12,9;
1611000;"Powiat strzelecki";88,3;88,9;19,2;19,3;
1661000;"Powiat m.Opole";203,3;23,7;12,3;1,4;
1800000;"PODKARPACKIE";83,7;70,4;22,5;19,0;
1801000;"Powiat bieszczadzki";21,8;115,4;51,2;271,2;
1802000;"Powiat brzozowski";85,7;70,7;17,4;14,3;
1803000;"Powiat dębicki";142,2;81,9;13,0;7,5;
1804000;"Powiat jarosławski";83,9;72,1;21,9;18,8;
1805000;"Powiat jasielski";100,7;74,1;18,9;13,9;
1806000;"Powiat kolbuszowski";85,9;107,1;20,0;24,9;
1807000;"Powiat krośnieński";80,1;71,1;8,2;7,3;
1808000;"Powiat leżajski";83,6;70,7;12,7;10,8;
1809000;"Powiat lubaczowski";49,7;119,0;16,8;40,3;
1810000;"Powiat łańcucki";113,9;63,4;6,7;3,7;
1811000;"Powiat mielecki";117,1;75,6;15,7;10,2;
1812000;"Powiat niżański";89,1;105,7;12,2;14,5;
1813000;"Powiat przemyski";68,6;112,4;30,1;49,4;
1814000;"Powiat przeworski";101,4;90,8;23,7;21,2;
1815000;"Powiat ropczycko-sędziszowski";108,4;79,7;66,7;49,0;
1816000;"Powiat rzeszowski";115,3;77,6;52,9;35,6;
1817000;"Powiat sanocki";48,2;59,4;17,3;21,3;
1818000;"Powiat stalowowolski";66,3;52,3;15,7;12,4;
1819000;"Powiat strzyżowski";101,9;83,8;7,5;6,2;
1820000;"Powiat tarnobrzeski";101,1;99,9;27,6;27,3;
1821000;"Powiat leski";28,6;90,7;1,6;5,0;
1861000;"Powiat m.Krosno";301,1;28,5;20,7;2,0;
1862000;"Powiat m.Przemyśl";342,6;26,5;48,7;3,8;
1863000;"Powiat m.Rzeszów";243,0;15,6;0,0;0,0;
1864000;"Powiat m.Tarnobrzeg";161,0;29,7;9,5;1,7;
2000000;"PODLASKIE";58,8;101,1;64,0;110,1;
2001000;"Powiat augustowski";45,2;130,1;60,8;175,0;
2002000;"Powiat białostocki";58,0;114,4;51,4;101,5;
2003000;"Powiat bielski";56,8;146,5;74,8;193,1;
2004000;"Powiat grajewski";72,5;150,0;32,9;68,0;
2005000;"Powiat hajnowski";41,7;161,2;50,9;196,8;
2006000;"Powiat kolneński";59,7;148,2;46,1;114,3;
2007000;"Powiat łomżyński";57,7;153,7;78,1;208,1;
2008000;"Powiat moniecki";40,1;138,2;74,6;257,3;
2009000;"Powiat sejneński";51,7;224,3;115,9;503,5;
2010000;"Powiat siemiatycki";57,6;192,7;57,4;192,1;
2011000;"Powiat sokólski";49,3;153,7;52,9;164,9;
2012000;"Powiat suwalski";60,0;220,5;57,1;209,7;
2013000;"Powiat wysokomazowiecki";88,2;201,6;142,5;325,6;
2014000;"Powiat zambrowski";70,2;119,1;16,1;27,4;
2061000;"Powiat m.Białystok";353,6;12,2;34,2;1,2;
2062000;"Powiat m.Łomża";319,3;16,7;22,3;1,2;
2063000;"Powiat m.Suwałki";199,8;18,8;33,1;3,1;
2200000;"POMORSKIE";67,4;52,7;44,4;34,6;
2201000;"Powiat bytowski";52,4;145,2;39,5;109,5;
2202000;"Powiat chojnicki";56,0;78,2;66,3;92,6;
2203000;"Powiat człuchowski";41,8;117,8;21,8;61,6;
2204000;"Powiat gdański";109,1;72,0;95,1;62,7;
2205000;"Powiat kartuski";81,8;64,6;65,4;51,7;
2206000;"Powiat kościerski";62,3;99,5;53,6;85,7;
2207000;"Powiat kwidzyński";59,6;60,0;36,3;36,5;
2208000;"Powiat lęborski";52,8;56,6;17,8;19,1;
2209000;"Powiat malborski";82,0;64,1;39,5;30,9;
